Graph,K,Seed,Cut,Epsilon,Imbalance,Time,MaxRSS,Cores,Failed
"audikw1",128,3,4169766,0.03,0.04,0.76,2079816,96,0
"audikw1",30000,3,27630167,0.03,3.768,20.369,9756152,96,0
"audikw1",37,3,2190784,0.03,0.03,0.78,1879188,96,0
"audikw1",64,3,2913863,0.03,0.031,0.92,1970308,96,0
"audikw1",8,3,792431,0.03,0.02,0.882,1870440,96,0
"audikw1",91,3,3521434,0.03,0.037,0.754,2015432,96,0
"audikw1",1000,4,9765946,0.03,0.056,1.083,2475848,96,0
"audikw1",128,4,4176898,0.03,0.031,0.761,2073332,96,0
"audikw1",30000,4,27630463,0.03,3.768,20.309,9925648,96,0
"audikw1",37,4,2216797,0.03,0.03,0.58,1881256,96,0
"audikw1",64,4,2933383,0.03,0.031,1.391,1961920,96,0
"audikw1",8,4,797493,0.03,0.025,0.673,1865216,96,0
"audikw1",91,4,3516014,0.03,0.033,1.155,2011256,96,0
"audikw1",1000,5,9752331,0.03,0.059,1.244,2461028,96,0
"audikw1",128,5,4144474,0.03,0.031,0.763,2080960,96,0
"audikw1",30000,5,27624219,0.03,3.768,20.302,9749380,96,0
"audikw1",37,5,2195583,0.03,0.03,1.411,1887424,96,0
"audikw1",64,5,2917458,0.03,0.031,0.772,1972848,96,0
"audikw1",8,5,789659,0.03,0.008,1.185,1880676,96,0
"audikw1",91,5,3476079,0.03,0.031,0.75,2012788,96,0
"bn-human-Jung2015_M87117515",1000,1,13952053,0.03,0.103,2.067,3507532,96,0
"bn-human-Jung2015_M87117515",128,1,4836385,0.03,0.049,0.916,2928052,96,0
"bn-human-Jung2015_M87117515",30000,1,39012032,0.03,3.812,26.527,12892940,96,0
"bn-human-Jung2015_M87117515",37,1,2112529,0.03,0.031,1.475,2897076,96,0
"bn-human-Jung2015_M87117515",64,1,3105306,0.03,0.032,0.863,2889532,96,0
"bn-human-Jung2015_M87117515",8,1,505110,0.03,0.007,0.625,2943296,96,0
"bn-human-Jung2015_M87117515",91,1,3868098,0.03,0.072,1.324,2905356,96,0
"bn-human-Jung2015_M87117515",1000,2,13954835,0.03,0.217,1.237,3535496,96,0
"bn-human-Jung2015_M87117515",128,2,4979785,0.03,0.051,0.8,2941752,96,0
"bn-human-Jung2015_M87117515",30000,2,39013186,0.03,3.812,26.366,12393368,96,0
"bn-human-Jung2015_M87117515",37,2,2135299,0.03,0.033,1.39,2888092,96,0
"bn-human-Jung2015_M87117515",64,2,3086908,0.03,0.034,0.542,2914104,96,0
"bn-human-Jung2015_M87117515",8,2,540951,0.03,0.007,0.445,2941752,96,0
"bn-human-Jung2015_M87117515",91,2,3991927,0.03,0.034,0.802,2907888,96,0
"bn-human-Jung2015_M87117515",1000,3,14004734,0.03,0.136,1.873,3551524,96,0
"bn-human-Jung2015_M87117515",128,3,4888079,0.03,0.034,1.836,2920248,96,0
"bn-human-Jung2015_M87117515",30000,3,39011508,0.03,3.812,25.595,13121444,96,0
"bn-human-Jung2015_M87117515",37,3,2201056,0.03,0.032,1.22,2895824,96,0
"bn-human-Jung2015_M87117515",64,3,3050733,0.03,0.032,0.864,2899632,96,0
"bn-human-Jung2015_M87117515",8,3,457871,0.03,0.025,1.122,2961632,96,0
"bn-human-Jung2015_M87117515",91,3,3947514,0.03,0.041,0.58,2900276,96,0
"bn-human-Jung2015_M87117515",1000,4,14146115,0.03,0.196,1.395,3525400,96,0
"bn-human-Jung2015_M87117515",128,4,4932616,0.03,0.048,0.603,2955580,96,0
"bn-human-Jung2015_M87117515",30000,4,39010692,0.03,3.812,25.947,13039416,96,0
"bn-human-Jung2015_M87117515",37,4,2078922,0.03,0.031,1.034,2885312,96,0
"bn-human-Jung2015_M87117515",64,4,3204458,0.03,0.033,0.939,2897108,96,0
"bn-human-Jung2015_M87117515",8,4,519067,0.03,0.018,1.142,2965676,96,0
"bn-human-Jung2015_M87117515",91,4,3965993,0.03,0.04,0.924,2885720,96,0
"bn-human-Jung2015_M87117515",1000,5,14436277,0.03,0.199,1.022,3529404,96,0
"bn-human-Jung2015_M87117515",128,5,4966010,0.03,0.056,0.751,2940216,96,0
"bn-human-Jung2015_M87117515",30000,5,39012708,0.03,3.812,26.361,13141984,96,0
"bn-human-Jung2015_M87117515",37,5,2151520,0.03,0.038,0.918,2889396,96,0
