Graph,N,M,HierarchyLevels,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,Mtot,K,Seed,Cut,Epsilon,Imbalance,Time,TimeCoarsening,TimeSparsification,TimeInitialPartitioning,TimeUncoarsening,TimeRefinement,TimeRemaining,Cores,Timeout,Failed
clustered_N18_K5_M26_ratio10,262144,134228814,8,26716118,5294886,983916,982524,982464,982456,982456,982450,982450,982450,172136084,37,2,56152119,0.030000,0.029922,1.027000,0.549000,0.000000,0.083000,0.007000,0.340000,0.048000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,5,26722710,5356138,1060718,1058580,1058474,1058474,1058474,1058474,1058474,1058474,169485434,64,2,61363036,0.030000,0.029785,0.878000,0.491000,0.000000,0.098000,0.003000,0.243000,0.043000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,8,99347640,42747334,17314350,7165708,2952436,1541772,1247990,1199468,1199468,1199468,307745512,7,2,50021144,0.030000,0.029987,1.396000,0.841000,0.000000,0.036000,0.012000,0.464000,0.043000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,8,101478506,44657598,18583842,7703854,3240010,1913298,1633652,1549712,1549712,1549712,314989286,8,2,46806972,0.030000,0.029999,1.373000,0.846000,0.000000,0.051000,0.014000,0.425000,0.037000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,7,26714670,18203474,12027034,8264968,6536470,6201604,6117132,6117132,6117132,6117132,218294166,16,3,56986124,0.030000,0.029968,1.404000,0.854000,0.001000,0.225000,0.011000,0.272000,0.041000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,9,85932492,31819322,11834690,4454282,1671542,555930,289766,247970,237536,237536,271272344,3,3,39378173,0.030000,0.029983,1.272000,0.914000,0.000000,0.010000,0.012000,0.298000,0.038000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,8,26732244,5304918,992278,990726,990666,990656,990648,990644,990644,990644,172211594,37,3,56364932,0.030000,0.029922,0.972000,0.504000,0.000000,0.085000,0.007000,0.340000,0.036000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,5,26718776,5353206,1060500,1058406,1058290,1058290,1058290,1058290,1058290,1058290,169477992,64,3,59821985,0.030000,0.029785,0.950000,0.539000,0.000000,0.096000,0.005000,0.270000,0.040000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,8,99115600,42747458,17359046,7212444,2948106,1505192,1253746,1188884,1188884,1188884,307559290,7,3,49640446,0.030000,0.029987,1.387000,0.841000,0.000000,0.037000,0.013000,0.457000,0.039000,32,0,0
clustered_N18_K5_M26_ratio10,262144,134228814,8,100843684,44567754,18469842,7759004,3217080,1885142,1629716,1556794,1556794,1556794,314157830,8,3,45832194,0.030000,0.005066,1.293000,0.843000,0.000000,0.051000,0.013000,0.353000,0.033000,32,0,0
